director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
Phyllida Lloyd,108,Pierce Brosnan,143704210312008, Comedy | Family | Musical | Romance,Meryl Streep,Mamma Mia!,Amanda Seyfried,bride|mediterranean|greece|wedding|island,52000000,2008,6.3
David Frankel,,Jennifer Aniston,143151473242009, Comedy | Drama | Family,Owen Wilson,Marley & Me,Eric Dane,dog|florida|dog movie|box office hit|pet name in title,60000000,2008,7.1
Andrew Adamson,150,Skandar Keynes,141614023292008, Action | Adventure | Family | Fantasy,Ben Barnes,The Chronicles of Narnia: Prince Caspian,Georgie Henley,narnia|king|good versus evil|brother sister relationship|brother brother relationship,225000000,2008,6.6
Danny Boyle,120,Freida Pinto,141319195222009, Drama,Dev Patel,Slumdog Millionaire,Saurabh Shukla,india|contestant|underdog|non professional cast|told in flashback,15000000,2008,8.0
Timur Bekmambetov,110,James McAvoy,134568845252009, Action | Crime | Fantasy | Thriller,Angelina Jolie,Wanted,Morgan Freeman,assassin|strong female lead|femme fatale|rejuvenation|bobble head doll,75000000,2008,6.7
Louis Leterrier,112135,Liv Tyler,134518390292008, Action | Adventure | Sci-Fi,Edward Norton,The Incredible Hulk,Tim Roth,antidote|opening action scene|marvel cinematic universe|hulk|cure,150000000,2008,6.8
Peter Segal,110,Anne Hathaway,130313314312008, Action | Adventure | Comedy,Steve Carell,Get Smart,Alan Arkin,spy|airplane|obese woman|overweight woman|misunderstanding,80000000,2008,6.5
David Fincher,166,Cate Blanchett,127490802172009, Drama | Fantasy | Romance,Brad Pitt,The Curious Case of Benjamin Button,Tilda Swinton,premature aging|deformed baby|lingerie slip|older man younger woman relationship|diary,150000000,2008,7.8
Seth Gordon,88,Vince Vaughn,12013604762009, Comedy | Drama | Romance,Reese Witherspoon,Four Christmases,Mary Steenburgen,christmas|airport|playing a board game|blonde woman|one year later,80000000,2008,5.6
Byron Howard,96,Miley Cyrus,114053579202009, Animation | Adventure | Comedy | Drama | Family,John Travolta,Bolt,Susie Essman,hollywood|superpower|hamster|dog|cat,150000000,2008,6.9
Ben Stiller,107121,Jack Black,11041670272008, Action | Comedy,Ben Stiller,Tropic Thunder,Robert Downey Jr.,vietnam|film director|parody|spoof|written and directed by cast member,92000000,2008,7.0
Adam Shankman,99,Keri Russell,10999384762009, Comedy | Family | Fantasy | Romance,Adam Sandler,Bedtime Stories,Courteney Cox,handyman|bedtime story|hotel heiress|elephant|tween girl,80000000,2008,6.1
Rob Cohen,112,Jet Li,102176165192008, Action | Adventure | Fantasy | Horror | Thriller,Brendan Fraser,The Mummy: Tomb of the Dragon Emperor,Maria Bello,emperor|shangri la|mummy|china|army,145000000,2008,5.2
Eric Brevig,93,Josh Hutcherson,10170206052008, Action | Adventure | Family | Fantasy | Sci-Fi,Brendan Fraser,Journey to the Center of the Earth,Anita Briem,venus flytrap|cave|mountain|missing brother|lost world,45000000,2008,5.8
D.J. Caruso,118,Michelle Monaghan,101111837262008, Action | Mystery | Thriller,Shia LaBeouf,Eagle Eye,Rosario Dawson,audio surveillance|pentagon|twin brother|death|technology,80000000,2008,6.6
Adam McKay,98106,John C. Reilly,100468793192008, Comedy,Will Ferrell,Step Brothers,Mary Steenburgen,slacker|dream|karaoke|friendship|love,65000000,2008,6.9
Dennis Dugan,113,John Turturro,10001883752008, Action | Comedy,Adam Sandler,You Don't Mess with the Zohan,Emmanuelle Chriqui,hair stylist|palestinian|jew|muslim|landlord,90000000,2008,5.5
Peyton Reed,104,Zooey Deschanel,97680195272009, Comedy | Romance,Jim Carrey,Yes Man,Bradley Cooper,girlfriend|best friend|dvd|loan|self help,70000000,2008,6.8
Roland Emmerich,109,Steven Strait,94770548132008, Action | Adventure | Drama | Fantasy | History,Camilla Belle,"10,000 BC",Marco Khan,hunter|mammoth|captive|tribe|epic,105000000,2008,5.1
Raja Gosnell,91,George Lopez,94497271302009, Adventure | Comedy | Drama | Family | Romance,Drew Barrymore,Beverly Hills Chihuahua,Piper Perabo,mexico|chihuahua|german shepherd|tijuana mexico|potted plant,20000000,2008,3.7
Kenny Ortega,112,Vanessa Hudgens,90556401302009, Comedy | Drama | Family | Music | Musical | Romance,Zac Efron,High School Musical 3: Senior Year,Ashley Tisdale,high school|basketball|graduation|high school senior|curtain call,11000000,2008,4.5
David Gordon Green,111117,James Franco,87341380262008, Action | Comedy | Crime,Seth Rogen,Pineapple Express,Gary Cole,stoner|marijuana|murder|paranoia|roach,27000000,2008,7.0
Bryan Singer,121,Bill Nighy,83077470102009, Drama | History | Thriller | War,Tom Cruise,Valkyrie,Carice van Houten,conspiracy|american actor playing foreigner|military|wehrmacht|assassination,75000000,2008,7.1
Robert Luketic,123,Kate Bosworth,81159365162008, Crime | Drama | Thriller,Jim Sturgess,21,Kevin Spacey,card counting|blackjack|massachusetts institute of technology|gambling|based on true story,35000000,2008,6.8
Tom Vaughan,99101,Ashton Kutcher,80276912122008, Comedy | Romance,Cameron Diaz,What Happens in Vegas,Rob Corddry,jackpot|father son relationship|casino|judge|wedding,35000000,2008,6.1
Doug Liman,88,Samuel L. Jackson,8017014642008, Action | Adventure | Sci-Fi | Thriller,Hayden Christensen,Jumper,Jamie Bell,teleportation|based on novel|vault|ice|bank,85000000,2008,6.1
Matt Reeves,85,Jessica Lucas,8003430242008, Action | Horror | Sci-Fi | Thriller,Mike Vogel,Cloverfield,Lizzy Caplan,found footage|brooklyn new york city|statue of liberty new york city|subway tunnel|night vision,25000000,2008,7.0
Scott Derrickson,104,Jennifer Connelly,79363785272009, Drama | Sci-Fi | Thriller,Keanu Reeves,The Day the Earth Stood Still,Kathy Bates,alien|military|earth|scientist|giant robot,80000000,2008,5.5
Anne Fletcher,111,James Marsden,76806312232008, Comedy | Romance,Katherine Heigl,27 Dresses,Malin Akerman,wedding|bridesmaid|friend|boss|digit in title,30000000,2008,6.1
