director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,plot_keywords,budget,title_year,imdb_score
Ned Benson,89,Jessica Chastain,, Drama | Romance,James McAvoy,The Disappearance of Eleanor Rigby: Him,Nina Arianda,0,infidelity|grieving|title based on song|flashback|break up,,2014,6.9
Dana Schroeder,93,Amy Hathaway,, Action | Sci-Fi | Thriller,Lance Henriksen,Alien Rising,John Savage,0,,3500000,2015,3.0
Víctor García,87,Sophia Myles,, Horror | Mystery | Thriller,Peter Facinelli,Gallows Hill,Nathalia Ramos,0,,3000000,2014,5.2
Mani Maserrat Agah,92,Anna Åström,, Drama,Gustaf Skarsgård,Vi,Rebecca Ferguson,0,female full frontal nudity|male frontal nudity|pubic hair|male nudity|love,6000000,2013,5.3
Dexter Fletcher,100,George MacKay,, Comedy | Drama | Musical | Romance,Paul Brannigan,Sunshine on Leith,Kevin Guthrie,0,,,2013,6.6
Ask Hasselbalch,77,Amalie Kruse Jensen,, Adventure | Comedy | Family,Oscar Dietz,Antboy,Samuel Ting Graf,0,comic book|superhero|ant|urination|growling stomach,,2014,5.3
John Ward,87,Gerald McRaney,, Drama | Family | Romance,Jana Kramer,Heart of the Country,Randy Wayne,1,father|sister|country|husband wife relationship|singer,1250000,2013,5.9
Jakob Lass,89,Franz Rogowski,, Comedy | Drama | Romance,Lana Cooper,Love Steaks,,0,male frontal nudity|male nudity|nudity|luxury hotel|hotel,,2014,6.6
Shinji Aramaki,115,Jessica Boone,, Animation | Adventure | Sci-Fi,Yû Aoi,Harlock: Space Pirate,Ayano Fukuda,0,cgi animation|liberty|undercover agent|time travel|space opera,30000000,2014,6.5
Andrew Douglas,92,Amy Wren,, Drama | Thriller,Joanne Froggatt,U Want Me 2 Kill Him?,Toby Regbo,1,teenage boy|internet|friendship between boys|friendship|london england,,2015,6.3
Alejandro Hidalgo,101,Rosmel Bustamante,, Drama | Horror | Mystery | Thriller,Miguel Angel Pacheco,La casa del fin de los tiempos,Adriana Calzadilla,0,,300000,2013,6.9
David Moreau,92,Pierre Niney,, Comedy | Romance,Virginie Efira,20 ans d'écart,Charles Berling,0,age difference|older woman younger man relationship|sex scene|kiss|sex with student,,2013,6.4
Joon-ik Lee,122,Hae-suk Kim,, Drama,Lee Re,So-won,Sang-ho Kim,0,,,2013,8.2
Filip Maciejewicz,82,Adrian Voo,, Action | Horror | Mystery | Sci-Fi | Thriller,Jonathan Rosenthal,Seventy-Nine,Bo Linton,0,,,2016,4.9
Sebastián Silva,97,Juno Temple,, Drama | Thriller,Michael Cera,Magic Magic,Emily Browning,4,mental breakdown|psychological disintegration|hypnotism|bullying|hypnosis,,2013,5.0
Ian Samplin,88,Giles Matthey,, Drama,Jack Falahee,Hunter,Ella Hatamian,0,,100000,2013,6.3
Mark Hartley,96,Rachel Griffiths,, Horror | Sci-Fi | Thriller,Charles Dance,Patrick,Sharni Vinson,2,nurse|psychic power|comatose|latex gloves|bare breasts,,2014,4.9
James Oakley,76,Lena Olin,, Mystery | Thriller,Rosamund Pike,The Devil You Know,Dean Winters,2,,3000000,2013,3.8
Dean Matthew Ronalds,93,Jennifer Taylor,, Drama,Michael Madsen,Ashley,Holly Taylor,0,estranged mother|teenage girl|female protagonist|lesbian|teenager,,2013,5.6
James Nunn,93,Kacey Clarke,, Action | Drama,Scott Adkins,Green Street 3: Never Back Down,Joey Ansah,1,firm|hooliganism|west ham supporter|training|bare breasts,,2014,5.4
Sean Ellis,115,John Arcilla,, Crime | Drama,Jake Macapagal,Metro Manila,Althea Vega,0,armored truck|squalor|security guard|family man|self sacrifice,250000,2013,7.6
Henry Saine,92,Kristanna Loken,, Action | Sci-Fi | Thriller,Matthew Marsden,Bounty Killer,Christian Pitre,1,white panties|panties|upskirt|mini skirt,,2013,5.5
Sarah Spillane,104,Christina Ricci,, Drama,Hunter Page-Lochard,Around the Block,Aaron L. McGrath,1,aboriginal|teacher|lesbian kiss|cop|australia,,2014,5.3
Ned Benson,100,James McAvoy,, Drama,Jessica Chastain,The Disappearance of Eleanor Rigby: Her,Nina Arianda,0,separation|grieving|mother daughter relationship|father daughter relationship|suicide attempt,,2014,7.0
Takaomi Ogata,95,Momoka Nishina,, Crime | Drama | Thriller,Emiko Izawa,Shikyu ni Shizumeru,Toshihiko Tanaka,0,,,,7.6
Olatunde Osunsanmi,94,Torrey DeVitto,, Horror | Mystery | Thriller,Caitlin Stasey,Evidence,Radha Mitchell,0,time freeze|360 degree pan|violence|talking to the camera|looking at the camera,,2013,5.4
Matthew Saville,105,Jai Courtney,, Thriller,Joel Edgerton,Felony,Tom Wilkinson,1,accident|police|coma|australian|code word,,2014,6.1
Christopher Menaul,100,Emily Browning,, Biography | Drama | Romance,Dominic Cooper,Summer in February,Dan Stevens,2,artist|coast|love triangle|20th century|aspiring artist,5000000,2014,5.6
John McKay,102,Stanley Weber,, Comedy | Drama | Romance,Karen Gillan,Not Another Happy Ending,Iain De Caestecker,0,writer's block,,2014,6.3
Hany Abu-Assad,96,Leem Lubany,, Drama | Romance | Thriller,Adam Bakri,Omar,Eyad Hourani,0,palestinian|wall|no music during end credits|male nudity|west bank,2100000,2013,7.6
Leslie Greif,94,Virginia Williams,, Comedy | Romance,Tammin Sursok,10 Rules for Sleeping Around,Chris Marquette,0,naked in public|male nudity|male frontal nudity|embarrassment nudity|bare chested male,2500000,2014,3.7
,,Shannon Brinson,, Horror,Jamie Bernadette,The Scissoring Part 2,Scott Carnwath,0,,,2013,7.6
Diablo Cody,86,Nick Offerman,, Comedy | Drama,Julianne Hough,Paradise,Holly Hunter,2,bicycle|cross cultural friendship|las vegas nevada|loss of faith|plane crash victim,,2013,4.9
Joseph Ruben,90,Michael Keaton,, Drama | Mystery | Thriller,Michelle Monaghan,Penthouse North,Barry Sloane,2,criminal|hidden fortune|new york city|photojournalist|diamonds,,2014,5.5
Lisa Langseth,97,David Dencik,, Drama,Alicia Vikander,Hotell,Anna Bjelkerud,1,male frontal nudity|hotel|pubic hair|male pubic hair|male rear nudity,200000,2013,6.5
William Brent Bell,89,Fran Drescher,, Action | Fantasy | Horror | Mystery | Thriller,A.J. Cook,Wer,Simon Quarterman,0,death|hospital|murder|christmas|father's day,,2014,5.9
Rajeev Dassani,115,John C. McGinley,, Drama,Bailee Madison,Watercolor Postcards,Jonathan Banks,0,small town|sister sister relationship|troubled past|teenage rebellion|country singer,2250000,2014,5.1
Manuel Martín Cuenca,116,Olimpia Melinte,, Thriller,Antonio de la Torre,Caníbal,María Alfonsa Rosso,0,male frontal nudity|male nudity|granada|pubic hair|male pubic hair,,2014,5.8
Neil LaBute,84,Alice Eve,, Drama,Stanley Tucci,Some Velvet Morning,,1,misogyny|play acting|rape|single setting|real time,,2013,5.8
Al Pacino,81,Jessica Chastain,, Drama,Kevin Anderson,Salomé,Ralph Guzzo,2,forename as title,,2014,7.0
Graham Cantwell,88,Mark Killeen,, Comedy | Romance,Amy-Joyce Hastings,The Callback Queen,Seán T. Ó Meallaigh,0,integrity|actress|prince|casting|graduation,,2015,4.6
Denis Henry Hennelly,99,Scott Mescudi,, Comedy | Drama,Adrian Grenier,Goodbye World,Mckenna Grace,0,hacker|college friends|apocalypse|cabin|threat,,2014,5.5
Ben Ketai,89,Kurt Caceres,, Horror,Brent Briscoe,Beneath,Eric Etebari,0,mining|insanity|ambiguous ending|mine cave in|mine disaster,,2014,5.5
Balázs Hatvani,83,Erin Hayes,, Comedy | Horror,Ashley Lloyd,Gingerclown,Tim Curry,0,,,2014,3.3
Clark Gregg,90,Felicity Huffman,, Comedy | Drama,Clark Gregg,Trust Me,Allison Janney,1,former child star|child actor|alcoholism|surprise ending|plot twist,,2014,6.2
Evelyn Purcell,92,Svetlana Metkina,, Action | Drama | Thriller,Stephen Dorff,Heatstroke,Maisie Williams,1,arms dealer|survival|teenage daughter|desert|sex scene,,2014,4.8
Tyler Perry,145,Melonie Daniels,, Comedy,Chandra Currelley-Young,Madea Gets a Job,Tamar Davis,1,african american protagonist,,2013,4.2
Max Mayer,92,Thomas Mann,, Comedy | Drama,Sarah Bolger,As Cool as I Am,James Marsden,1,small town|teenager|teenage girl|cheating wife|infidelity,,2013,5.9
Thomas Weber,97,Ashley Nicole Anderson,, Drama,Ryan Scharoun,Ring the Bell,Casey Bond,0,sports agent|man praying|reading bible|rock concert|baseball game,1000000,2013,6.5
Sebastien Guy,86,Georgina Haig,, Drama | Mystery | Thriller,Christian Clark,Nerve,Craig Hall,0,,,2013,4.6
Jens Jonsson,127,Joel Kinnaman,, Crime | Drama | Thriller,Matias Varela,Snabba cash - Livet deluxe,Martin Wallström,0,robbery|undercover|skinny dipping|male nudity|murder,6000000,2013,6.3
Jeremy Lovering,85,Alice Englert,, Horror | Mystery | Thriller,Iain De Caestecker,In Fear,Allen Leech,1,ireland|psychopath|lost in the woods|secluded hotel,,2013,5.5
Michael S. Ojeda,95,Marc Anthony Samuel,, Action | Fantasy | Horror | Thriller,Amanda Adrienne Smith,Avenged,Rodney Rowland,0,deaf|war paint|engagement ring|hostage|suicide,,2015,5.6
Michael Noer,91,Oscar Dyekjær Giese,, Action | Crime | Drama,Gustav Dyekjær Giese,Nordvest,Lene Maria Christensen,0,teenage boy|male nudity|male frontal nudity|male rear nudity|police arrest,12600000,2013,6.9
James Nguyen,,Whitney Moore,, Action | Comedy | Horror,Alan Bagh,Birdemic 2: The Resurrection,Thomas Favaloro,0,eagle|hollywood|unintentionally funny|woman undressing|bird,20000,2013,1.7
Herschel Faber,88,Camilla Belle,, Comedy,Skylar Astin,Cavemen,Chad Michael Murray,0,,,2015,5.3
Shoojit Sircar,130,John Abraham,, Action | Drama | History | Thriller | War,Nargis Fakhri,Madras Cafe,Rashi Khanna,1,agent|conspiracy|patriotism|adventurer|plot,350000000,2013,7.8
Christian James,84,Antonia Bernath,, Comedy | Horror,Dan Palmer,Stalled,Tamaryn Payne,0,restroom|women's restroom|lesbian kiss|christmas horror|gopher,45000,2014,4.7
Brian A Miller,94,James Caan,, Action | Crime | Drama | Mystery | Thriller,Craig Fairbrass,The Outsider,Jason Patric,0,military contractor|desperation|morgue|detective|fight,4000000,2014,4.8
Anthony Silverston,85,Steve Buscemi,, Animation | Adventure | Family,Jake T. Austin,Khumba,Loretta Devine,0,herd|zebra|waterhole|ostrich|wildebeest,20000000,2013,5.8
Damian Lee,89,Dominic Purcell,, Action | Thriller,Brendan Fraser,Breakout,Ethan Suplee,2,murder|prison|kayaking|gun|phone,,2013,4.2
Roger Roth,89,Melinda Cohen,, Comedy | Horror,Katrina Wynn,Paranormal Whacktivity,Chanel Ryan,0,marijuana|husband wife relationship|demonic possession|musical number|night vision,360000,2013,2.3
Tobe Hooper,82,Razane Jammal,, Horror | Thriller,Aiysha Hart,Djinn,Ahd,0,,,2013,4.4
Kevin Goetz,82,Dan Fogler,, Drama | Thriller,Josh Duhamel,Scenic Route,Miracle Laurie,0,desert|on the road|cell phone|fox|broken nose,,2013,6.5
David Pastor,100,José Coronado,, Adventure | Sci-Fi | Thriller,Quim Gutiérrez,The Last Days,Marta Etura,2,death|fear|epidemic|water shortage|panic,5000000,2013,6.1
Mukunda Michael Dewil,82,Naima McLean,, Action | Crime | Thriller,Paul Walker,Vehicle 19,Gys de Villiers,1,rental car|police|wound|telephone|kidnapping,10000000,2013,4.9
Jason Lockhart,94,Jason Lockhart,, Comedy,Justin Smith,Casting Couch,Jessica Rose,0,audition|scam|reference to oscar mayer|what happened to epilogue|middle finger,3000000,2013,4.9
Hélène Giraud,89,,, Animation | Adventure | Family,,Minuscule: Valley of the Lost Ants,,0,ant|red ant|black ant|ladybug|picnic,19700000,2014,7.1
Anthony Meadows,78,Madeleine Rouse,, Horror,Adam Hartley,The Slender Man,Eric Warrington,0,slender man,10000,2013,3.8
Felix Fuchssteiner,122,Florian Bartholomäi,, Drama | Fantasy | Mystery | Romance | Sci-Fi,Josefine Preuß,Rubinrot,Uwe Kockisch,2,time travel|mind control|telekinesis|mind reading|seeing ghosts,,2013,6.1
Roger Christian,8490,Amy Matysio,, Horror | Sci-Fi,Christian Slater,Stranded,Michael Therriault,1,astronaut|trapped in space,2000000,2013,3.5
Jonathan auf der Heide,180107107,James Fraser,, Drama,Colin Friels,The Turning,Henri Phillips,0,australian|australia|two word title|directed by several directors|based on short stories,,2013,6.1
Delphine Lehericey,85,Audrey Bastien,, Romance,Solène Rigot,Puppylove,Vincent Perez,0,threesome|seduction|party|vacation|camping,,2013,5.6
Brett Donowho,96,Steve Bacic,, Horror | Thriller,Erick Avari,A Haunting at Silver Falls,James C. Burns,0,small town|twins|revenge|psychological torture|psychiatrist,2500000,2013,4.8
Duane Journey,86,Michael Welch,, Comedy | Horror,Molly C. Quinn,Hansel & Gretel Get Baked,Lara Flynn Boyle,0,hansel and gretel|witch|marijuana|witchcraft|lesbian kiss,4500000,2013,4.3
Ki-duk Kim,89,Yeong-ju Seo,, Drama,Jae-hyeon Jo,Moebiuseu,Eun-woo Lee,2,knife|mother son incest|male full frontal nudity|genital mutilation|castration,,2014,6.5
Larry Fessenden,90,Bonnie Dennison,, Horror | Thriller,Daniel Zovatto,Beneath,Chris Conroy,0,oar|woman in bikini|woman in a bikini|killer fish|eaten alive,1000000,2013,3.8
Isaac Florentine,95,Kane Kosugi,, Action | Crime | Thriller,Scott Adkins,Ninja: Shadow of a Tear,Mika Hijii,0,torture|tied to a chair|muscular|bare chested male bondage|drug lord,2600000,2013,6.2
Antonio Zavala Kugler,97,Ari Borovoy,, Comedy | Drama | Romance,Christian Bach,Deseo,Lila Downs,0,foreign language adaptation|based on play,,2013,5.7
Stephen Reynolds,106,Vincent Regan,, Action | Thriller,Danny Dyer,Vendetta,Roxanne McKee,0,police|parents|interrogator|british soldier|soldier,,2013,5.9
Yilmaz Erdogan,138,Mert Firat,, Biography | Drama | History | Romance,Kivanç Tatlitug,Kelebegin Rüyasi,Belçim Bilgin,1,love|poetry|world war two|funeral|sick girl,15000000,2013,7.9
Michael Bartlett,110,Blake Berris,, Fantasy | Horror | Thriller,Lindsey Haun,House of Last Things,RJ Mitte,0,,,2013,6.2
Shin-yeon Won,137,Jae-yoon Jo,, Action | Thriller,Yoo Gong,The Suspect,Sung-ha Jo,0,,,2014,6.9
John Lyde,101,Nancy Stafford,, Drama | Family,Brian Krause,Christmas for a Dollar,Danielle Chuchran,0,christmas,,2013,7.2
Ray Burdis,106,Patrick Bergin,, Drama,Bhrina Bache,The Wee Man,Hannah Blamires,0,friendship|retrospective|betrayal|father son relationship|gangster,,2013,6.0
Daisy von Scherler Mayer,90,Kristen Bell,, Comedy | Drama,Adam Brody,Some Girl(s),Zoe Kazan,0,writer|breakup|revenge|hotel room|based on play,,2013,4.6
Gabriele Salvatores,110,Vilius Tumalavicius,, Crime | Drama,Arnas Fedaravicius,Educazione siberiana,Eleanor Tomlinson,0,,30000000,2013,6.4
Clarence Yiu-leung Fok,99,Tian Jing,, Action | Crime | Drama,Donnie Yen,Te shu shen fen,Andy On,0,taekwondo|jujitsu|sniper|violence|martial arts,,2013,5.5
Anthony Fabian,95,David Duchovny,, Drama | Family,Adelaide Kane,Louder Than Words,Xander Berkeley,0,children's hospital|diary|fishing|death of sister|senator,,2014,6.0
Stéphane Berla,94,Olivia Ruiz,, Animation | Adventure | Drama | Fantasy | Musical | Romance,Mathias Malzieu,Jack et la mécanique du coeur,Grand Corps Malade,0,heart|love|clock|frozen|cgi animation,33746302,2014,7.0
Gary Alazraki,108,Luis Gerardo Méndez,, Comedy,Gonzalo Vega,Nosotros los Nobles,Karla Souza,0,older woman younger man relationship|bare chested male|slacker|sauna|reference to diego maradona,,2013,7.4
Marc Turtletaub,90,Sharon Stone,, Comedy | Drama,Alicia Silverstone,Gods Behaving Badly,Robin Weigert,0,,,2013,6.3
Mark Jones,,AnnaLynne McCord,, Comedy | Crime | Horror | Thriller,Billy Zane,Scorned,Viva Bianca,1,torture|cigar smoking|cigarette smoking|older man younger woman|sex scene,1700000,2014,4.7
Predrag Antonijevic,86,Milo Ventimiglia,, Horror | Thriller,Rebecca Da Costa,Breaking at the Edge,Andie MacDowell,0,female protagonist|brother murders brother|ghost cat|ghost girl|ghost,,2013,4.4
Adolfo Alix Jr.,90,Angel Aquino,, Drama,Carlo Aquino,Porno,Yul Servo,0,,,2013,7.1
Johan Earl,95,Tim Pocock,, Action | Drama | War,Johan Earl,Battle Ground,Martin Copping,2,world war one|two word title|independent film,1500000,2013,4.9
Rodrigo Sorogoyen,90,Aura Garrido,, Drama | Romance,Javier Pereira,Stockholm,Jesús Caba,0,party|discussion|lie|mirror|kiss,,2013,7.1
Chad Crawford Kinkle,,Lauren Ashley Carter,, Drama | Horror | Thriller,Sean Bridgers,Jug Face,Kaitlin Cullum,1,brother sister incest|incest|pit|white eyes|pregnancy,,2013,5.2
Jeremy LaLonde,105,Shannon Beckner,, Comedy,Paul Amos,Sex After Kids,Katie Boland,0,sex scene|topless female nudity|female nudity,3000000,2014,5.5
Bernard Rose,82,Ian Duncan,, Horror,Caitlyn Folley,sxtape,Diana García,0,abandoned hospital|abandoned building|sex tape|female nudity|found footage,600000,2014,3.3
Jayson Thiessen,72,Ashleigh Ball,, Animation | Comedy | Family | Fantasy,Tara Strong,My Little Pony: Equestria Girls,Andrea Libman,0,magic|friendship|high school|apology|dancing,,2013,6.2
Brian Skiba,87,Jud Tylor,, Drama | Family | Fantasy,Dean Cain,Defending Santa,John Savage,0,christmas,,2013,5.7
Mo Ogrodnik,91,Shiloh Fernandez,, Drama | Thriller,Haley Bennett,Deep Powder,Logan Miller,0,boarding school|pubic hair|male pubic hair|teen romance|nudity,,2013,5.8
Peter Hyams,85,Jean-Claude Van Damme,, Action | Thriller,Tom Everett Scott,Enemies Closer,Orlando Jones,0,drugs|u.s. canadian border|survival|explosion|flare,5000000,2014,5.2
Simon Hawkins,92,Logan Huffman,, Crime | Drama | Thriller,Mackenzie Davis,Bad Turn Worse,Jeremy Allen White,0,swimming pool|blonde|small town|racist|jealousy,,2014,5.5
Lisa James Larsson,105,Mylaine Hedreul,, Drama,Martin Wallström,Ego,Sissela Kyle,0,blindness|pursue a dream|kissing|competition|singer,,2013,6.2
Riccardo Milani,98,Kasia Smutniak,, Comedy,Claudio Bisio,Benvenuto Presidente!,Beppe Fiorello,0,,,2013,6.2
Troy Kotsur,79,Michelle Nunes,, Comedy | Drama | Family,John Maucere,No Ordinary Hero: The SuperDeafy Movie,Zane Hencker,0,deaf|boy|actor|tv show|sign language,,2013,7.7
Yasuhiro Yoshiura,98,Nobuhiko Okamoto,, Animation | Adventure | Drama | Fantasy | Romance | Sci-Fi,Yukiyo Fujii,Sakasama no Patema,Shintarô Oohata,0,underground|post apocalypse|dictator|falling from height|subterranean world,,2013,7.4
Mark LaFleur,80,Josh Cole,, Comedy | Horror | Thriller,Nicole Schatz,Stripped,Carson Aune,0,lesbian kiss|hack saw|torture|blood|las vegas,,2013,4.7
Ben Nott,113,Xavier Samuel,, Drama | Sport,Myles Pollard,Drift,Sam Worthington,2,biker|bare chested male|1970s|australia|surfer,11000000,2013,6.3
David DeCoteau,85,Kristine DeBell,, Family,Johnny Whitaker,A Talking Cat!?!,Justin Cone,0,cat|three word title|question in title|question mark in title|punctuation in title,1000000,2013,2.5
Anton Megerdichev,,Anatoliy Belyy,, Action | Thriller,Sergey Puskepalis,Metro,Svetlana Khodchenkova,0,tunnel|train|flood|bunker|traffic,13000000,2013,6.6
Neil Breen,100,Klara Landrat,, Drama | Fantasy | Thriller,Neil Breen,Fateful Findings,Jennifer Autry,3,press conference|writer|supernatural power|supernatural|corruption,,2014,4.3
Kohl Glass,97,Masiela Lusha,, Action | Adventure | Fantasy,Rusty Joiner,Dragonfyre,Wesley John,0,sword and sorcery|melee combat|mythical creature,350000,2013,3.4
Vincent Grashaw,104,James C. Burns,, Drama | Thriller,P.J. Boudousqué,Coldwater,Chris Petrovski,0,male rear nudity|male nudity|teenage boy|juvenile|death,700000,2013,6.4
Koichi Sakamoto,82,Minehiro Kinomoto,, Action | Crime | Drama | Sci-Fi,Mayuko Iwasa,009-1: The End of the Beginning,Nao Nagasawa,0,cyborg|spy|female nudity|nudity|blood splatter,,2013,4.5
Bernard Rose,122,Jared Harris,, Biography | Drama | Musical,David Garrett,The Devil's Violinist,Joely Richardson,1,violinist|19th century|love|london england|business manager,,2015,6.1
Elliot Goldner,89,Robin Hill,, Horror | Mystery,Gordon Kennedy,Final Prayer,Aidan McArdle,0,church|suicide|miracle|found footage|paganism,,2015,5.8
Laurie Collyer,90,Matt Dillon,, Drama,Naomi Watts,Sunlight Jr.,Tess Harper,2,poverty|pregnancy|alcoholism|unwanted pregnancy|title ends with period,,2015,5.6
Brian Brightly,92,Sara Paxton,, Thriller,Matt Lanter,Liars All,Torrance Coombs,4,murder|new year's eve|pistol|new year's eve party|london england,,2013,4.3
Quentin Dupieux,83,Eric Judor,, Comedy | Crime,Mark Burnham,Wrong Cops,Steve Little,0,police|drugs|police officer|dead fish|dead rat,,2014,5.9
Juno Mak,103,Siu-Ho Chin,, Action | Horror,Anthony Chan,Rigor Mortis,Fat Chung,1,vampire|hong kong|ghost|cult film|exorcism,15000000,2014,6.3
Aleksey German,177,Aleksandr Chutko,, Drama | Sci-Fi,Leonid Yarmolnik,Trudno byt bogom,Yuriy Tsurilo,0,male full frontal nudity|fictional war|hanging|nudity|medieval times,7000000,2014,6.7
Lee Galea,85,Lucas Linehan,, Drama | Romance,Tristan Barr,Monster Pies,Rohana Hayes,0,english teacher|teacher|school|nudity|school uniform,30000,2013,6.6
Stijn Coninx,118,Donatella Finocchiaro,, Biography | Drama | Music | Romance,Luigi Lo Cascio,Marina,Matteo Simoni,0,belgium|musician|accordion|male frontal nudity|male nudity,,2013,7.3
Brett Simmons,91,Stephen Lang,, Horror | Thriller,C.J. Thomason,The Monkey's Paw,Michelle Pierce,0,paw|wish|son|bar|the monkey's paw,,2013,4.5
Tim McCanlies,87,Connie Britton,, Comedy | Drama | Family,Harry Connick Jr.,Angels Sing,Chandler Canterbury,0,christmas,,2013,5.8
Gary Entin,84,Justin Deeley,, Comedy,Cameron Deane Stewart,Geography Club,Meaghan Martin,0,gay nerd|club|school|high school|sexual identity,6400000,2014,6.6
Keoni Waxman,99,Ving Rhames,, Action | Crime,Steven Seagal,Force of Execution,Danny Trejo,3,no opening credits|aikido|knife fight|martial arts|shootout,10000000,2014,4.6
Dagen Merrill,82,Phil Austin,, Horror | Mystery | Thriller,Luke Arnold,Murder in the Dark,Yann Bean,0,after dark horrorfest,,2013,4.5
Ui-seok Jo,119,Kyung Jin,, Action | Crime,Hyo-ju Han,Gam-si-ja-deul,Woo-sung Jung,0,,,2013,7.2
Benjamin Epps,105,Matthew Modine,, Comedy | Drama,Kristin Chenoweth,Family Weekend,Olesya Rulin,1,tied feet,,2013,6.3
J.W. Myers,102,Terry Kiser,, Family,Kevin Sizemore,A Christmas Tree Miracle,Jill Whelan,0,holiday|christmas,,2013,6.5
M.J. Delaney,86,Jaime Winstone,, Comedy,Sheridan Smith,Powder Room,Kate Nash,0,nightclub band|girl band|all girl band|rock band|hair extension,,2013,4.7
Jarret Tarnol,84,Rebekah Brandes,, Comedy | Horror | Romance,Reece Thompson,April Apocalypse,Brent Tarnol,0,zombie|death of protagonist|medication|character name in title,,2015,5.1
Emilio Aragón,103,Jeremy Irvine,, Adventure | Drama,Robert Duvall,A Night in Old Mexico,Angie Cepeda,0,ranch|mexico|drugs|mexican|trailer park,2000000,2014,5.7
Santiago Zannou,100,Miguel Ángel Silvestre,, Drama | Romance | Thriller,Álex González,Alacrán enamorado,Carlos Bardem,1,pubic hair|male pubic hair|male nudity|male frontal nudity|neo nazi,,2013,5.8
Chadd Harbold,85,Liam Aiken,, Comedy,Gavin McInnes,How to Be a Man,Megan Neuringer,0,penis|male nudity|male frontal nudity|pubic hair|male pubic hair,,2014,6.9
John Lyde,,Richard McWilliams,, Action | Adventure | Fantasy,Danielle Chuchran,SAGA - Curse of the Shadow,Paul D. Hunt,1,orc|elf|dwarf|sword and sorcery|firearm,,2014,5.0
Courtney Daniels,87,Eric Callero,, Comedy | Drama | Romance,Cate Beehan,What Other Couples Do,Michael Marc Friedman,0,,50000,2013,6.3
Zack Parker,120,Kristina Klebe,, Drama | Horror | Thriller,Joe Swanberg,Proxy,Alexa Havins,0,bathtub|breasts|liar|revenge,,2014,5.7
Eric Rochant,103,Cécile De France,, Drama | Thriller,Jean Dujardin,Möbius,Tim Roth,2,oligarch|money laundering|trader|love|american embassy,,2013,6.1
Christie Will,88,Kip Pardue,, Comedy | Romance,Lacey Chabert,Slightly Single in L.A.,Jenna Dewan Tatum,1,wedding|single|jealousy|rivalry|masturbation,3500000,2013,4.5
Vanessa Parise,,Shelley Long,, Family,Emmanuelle Vaugier,The Wedding Chapel,Mark Deklin,0,,4000000,2013,6.1
Jason Friedberg,90,Samantha Colburn,, Comedy,Desiree Hall,Best Night Ever,Eddie Ritchard,0,male frontal nudity|full frontal male nudity|male nudity|censored male frontal nudity|male rear nudity,,2013,4.0
Tony Giglio,106,Falk Hentschel,, Action,Jon Foo,Extraction,Vinnie Jones,1,,1100000,2013,4.8
Gabriel Sabloff,88,Brian Bosworth,, Action,David A.R. White,Revelation Road: The Beginning of the End,Andrea Logan White,0,biker|fight|gang|traveling salesman|desert,,2013,5.0
Michael Urie,,Ryan Spahn,, Comedy,Halley Feiffer,He's Way More Famous Than You,Ashlie Atkinson,0,celebrity|new york city|new york|claim in title|fame,,2013,3.7
Riccardo Paoletti,86,David Brandon,, Drama | Horror | Mystery,Daisy Keeping,Neverlake,Joy Tanner,1,,,2014,5.4
Rajat Kapoor,107,Seema Pahwa,, Comedy | Drama,Sanjay Mishra,Ankhon Dekhi,Rajat Kapoor,0,eccentricity|job resignation|family relationships|anger|angry wife,,2014,8.1
Geun-seop Jeong,120,Sang-kyung Kim,, Crime | Mystery | Thriller,Jeong-hwa Eom,Mong-ta-joo,Young-chang Song,1,,,2013,7.5
Chris LaMartina,83,Aaron Henkin,, Comedy | Horror,Paul Fahrenkopf,WNUF Halloween Special,Nicolette le Faye,0,,,2013,6.7
Richard Schenkman,87,Noell Coet,, Drama | Horror | Thriller,Ian Bamberg,Mischief Night,Adam C. Edwards,0,intruder|car accident|night|psychosomatic blindness|blindness,,2013,4.6
Egidio Coccimiglio,88,Carrie-Anne Moss,, Drama | Thriller,Heather Graham,Compulsion,Kevin Dillon,2,obsession|surrealism|high heels|dining room|making out,4000000,2013,4.5
Tom Wadlow,92,Jessica Messenger,, Drama | Horror,Shameer Seepersand,Wasteland,Mark Drake,0,apocalypse,500000,2015,3.4
Jason Priestley,90,Jayne Eastwood,, Comedy | Drama,Tatiana Maslany,Cas & Dylan,Richard Dreyfuss,0,character name in title,,2015,6.6
Patxi Amezcua,,Belén Rueda,, Mystery | Thriller,Ricardo Darín,Séptimo,Abel Dolz Doval,1,hitchcockian,,2013,5.8
Mohit Suri,132,Shraddha Kapoor,, Drama | Music | Musical | Romance,Aditya Roy Kapoor,Aashiqui 2,Shaad Randhawa,0,,120000000,2013,7.0
R.D. Braunstein,89,Sara Malakul Lane,, Action | Sci-Fi,Jeff Fahey,100 Degrees Below Zero,Marc Ewins,0,ash cloud|volcanic eruption|eiffel tower|disaster movie|evacuation,,2013,2.4
Uwe Boll,90,Erin Karpluk,, Crime | Thriller,Ray Liotta,Suddenly,Dominic Purcell,2,house|secret service agent|assassin|small town|remake,,2013,3.6
Salomé Breziner,91,Vanessa Marano,, Comedy,Gaelan Connell,The Secret Lives of Dorks,Riley Voelkel,0,,,2013,5.1
