director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
John-D Lazatin,,Nonie Buencamino,, Drama,Pokwang,A Mother's Story,Rayver Cruz,mother|home|united states|immigration lawyer|labor,,2011,7.2
Branko Baletic,110,Gordana Gadzic,, Comedy,Stela Cetkovic,Lokalni vampir,Zana Gardasevic,,,2011,6.7
Vincent Foster,84,Richard Tyson,, Comedy,Charles Durning,Naked Run,Eileen Brennan,,2000000,2011,5.4
Santiago Mitre,110,Romina Paula,, Drama,Esteban Lamothe,El estudiante,Ricardo Felix,university|politics|written by director|betrayal|manipulation,,2011,7.0
Sean Branney,103,Autumn Wendel,, Mystery | Sci-Fi | Thriller,Stephen Blackehart,The Whisperer in Darkness,Annie Abrams,h.p. lovecraft|alien|rain|airplane|phonograph,,2011,6.6
Alex Wright,85,Nazneen Contractor,, Horror | Thriller,Bobby Campo,Seance: The Summoning,Chris Olivero,morgue|seance|female nudity|nudity|bare chested male,,2012,3.5
Jens Lien,87,Åsmund Høeg,, Drama,Sven Nordin,Sønner av Norge,Sonja Richter,male frontal nudity,,2011,6.5
Kyle Day,82,Nick Manning,, Action,Julin,Cherry Bomb,John Gabriel,revenge|gang rape|rape|drugs|drug dealer,100000,2011,3.4
Tamar Halpern,91,Ryan Simpkins,, Family,Maxwell Beer,Jeremy Fink and the Meaning of Life,Mira Sorvino,fink|keys|life,,2012,6.1
Christopher Petry,106,Allison Mack,, Crime | Drama | Romance,Ryan Robbins,Marilyn,Mike Dopud,,,2011,7.6
Evan Oppenheimer,,Mía Maestro,, Sci-Fi | Thriller,Nick Stahl,The Speed of Thought,Taryn Manning,telepath|soul mate|gambling|guard|shared consciousness,2000000,2011,4.8
Nandini Bv Reddy,136,Nithya Menon,, Drama,Nani,Ala Modalaindi,Sneha Ullal,,,2011,7.7
Jung Hwan Kim,114,Joong-ki Song,, Comedy | Romance,Ye-seul Han,Ti-kkeul-mo-a ro-maen-seu,Sang-Yeob Lee,,,2011,6.8
Eli Hershko,,Joslyn DeFreece,, Drama,Laverne Cox,Carla,Gregg Bello,,39000,2014,7.9
Shawn Welling,,Marissa Lee,, Sci-Fi,Shawn Welling,Project Aether,Joy Willard,government conspiracy|twist|haunted house|poltergeist,,2011,7.1
Amr Salama,96,Maged El Kedwany,, Drama,Hend Sabry,Asmaa,Hani Adel,,,2011,8.4
Antoine Thomas,81,Simonetta Solder,, Horror | Thriller,Sean Clement,Hidden 3D,Jordan Hayes,,8000000,2011,3.3
Güzin Kar,84,Elisa Schlott,, Comedy | Drama,Meret Becker,Fliegende Fische müssen ins Meer,Barnaby Metschurat,overalls|nudity|male nudity|male frontal nudity|study,,2011,6.3
Yusry Abd Halim,109,Gavin Stenhouse,, Action | Adventure,Stephen Rahman Hughes,The Malay Chronicles: Bloodlines,Jing Lusi,roman|2nd century|prince|death of protagonist|cgi,8000000,2011,3.9
Gautham Menon,120,Sameera Reddy,, Mystery | Thriller,Veera Bahu,Nadunisi Naaygal,Deva,kidnapping|psychopath|rape|violence|murder,,2011,4.6
Rajesh Pillai,,Kunchacko Boban,, Action | Adventure | Mystery | Thriller,Sreenivasan,Traffic,Rahman,accident|cheating wife|heart transplantation|traffic cop,,2011,8.0
Selçuk Aydemir,,Ahmet Kural,, Comedy,Murat Cemcir,Çalgi Çengi,Bora Akkas,wedding|truck|dance scene|crying male|crying,,2011,7.4
David Lisle Johnson,,Zack Ward,, Drama | Romance,Gregory Smith,In My Pocket,Shantel VanSanten,drugs|drug addiction|addiction|pills|drug rehabilitation,2000000,2013,5.0
Franco di Chiera,,Holly Valance,, Comedy,Frank Lotito,Big Mamma's Boy,Carmelina Di Guglielmo,,,2011,5.0
Kelly Smith,80,Sam Hazeldine,, Horror | Thriller,Sophie Linfield,Don't Let Him In,Gordon Alexander,serial killer|murder|violence|dark|covered in blood,3200000,2011,3.5
Julian Higgins,100,Tom Sizemore,, Action | Crime | Mystery,Robert Thorne,The Colombian Connection,Bertie Higgins,crew|colombia|marijuana|smuggling|briefcase of money,,,4.0
Andreas Marschall,112112,Magdalena Ritter,, Horror | Mystery | Thriller,Susen Ermich,Masks,Julita Witt,giallo|lesbian kiss|mask|homage|murder,,2012,5.8
Simon Verhoeven,112,Nika von Altenstadt,, Comedy | Romance,Til Schweiger,Männerherzen... und die ganz ganz große Liebe,Justus von Dohnányi,follow up|ellipsis,,2011,6.3
Santosh Sivan,,Prabhudheva,, Action | Adventure | Drama | History | Thriller | War,Prithviraj Sukumaran,Urumi,Genelia D'Souza,,200000000,2011,6.9
Marcell Jankovics,160,Péter Benkö,, Animation | Drama | History | Sci-Fi,Gyula Balázsi,Az ember tragédiája,Ágnes Bertalan,spacecraft|experimental animation|2d animation|society|futuristic,,2011,7.7
